age,limit_bal,pay_delay,bill_amt,pay_amt,education,prob
73,258700.66444750148,7,111362.73854025544,0.0,2,0.9997233698855442
55,212249.89081169356,4,113866.63884946388,15309.31926906007,2,0.9613272567698355
65,151141.6718201332,4,159971.44886910944,5185.690942161572,2,0.9832229289594737
57,331614.89093933324,4,143192.09617321737,16197.779938409443,2,0.9433086955585679
42,168834.87151907035,7,70470.13115347768,6858.437349886473,2,0.9997527219365702
55,208709.35093817196,0,0.0,1093.1009789104883,2,0.007475152820183636
72,73010.27893811143,6,35536.417035679755,0.0,2,0.998830618058021
73,197187.7988040493,6,41533.49974147366,7062.408934957841,2,0.9976716780068764
73,49376.89904301328,3,54128.26983697482,4.833501023853842,3,0.8537393073383415
59,309036.7724605486,5,71456.38710171553,0.0,1,0.9832609267810288
47,253500.6269353785,5,135012.8040835848,489.5086454261668,1,0.9937268821547073
57,330175.38973483705,4,142988.38139590272,0.0,1,0.9498729294107521
60,196319.59712188801,1,155259.9300663579,0.0,3,0.17711758732020313
46,299225.94895026815,4,104335.08731052966,2315.0358536758513,1,0.9386073236941971
73,334382.11876179,2,132391.62561189622,2469.5590911397016,2,0.313615801274287
57,113982.42717763312,6,81177.41429377731,0.0,2,0.9990854854908686
49,151461.8173095154,1,115092.56866272008,4491.08311448049,4,0.14648409846544738
53,127730.80154587411,8,61396.38214285503,23056.28172984043,2,0.9999603819224331
39,274893.9593445094,9,86349.0653827771,7400.5061232812,2,0.9999881724456016
59,298454.2517902625,2,58287.25359241417,10599.581073030957,3,0.19441826049159489
48,252443.7721108006,6,59981.41722717349,0.0,3,0.9972797945038675
72,106562.2508150146,1,100655.41141362047,3645.612478663033,2,0.1783849858989246
47,194361.83155399933,5,59383.13516127771,7264.803961231916,2,0.9894165498747476
44,180307.0099315025,6,121392.44472484507,24872.792923733297,4,0.9989019219076877
59,97275.90318114171,6,76863.41663401882,14785.30402668559,2,0.9990880770094884
47,304729.6250459987,6,78237.17200570239,15892.636633489528,2,0.996999109618978
48,388570.6828603416,7,95379.34817316619,1121.4255854517469,2,0.9993163769834147
50,355401.810287192,1,18289.00708869814,0.0,1,0.02338489601584154
62,146710.15033342008,8,114192.48850878587,5368.268609066281,3,0.9999737804288747
45,310789.0940014716,5,100057.93386897218,5836.31751652458,2,0.9863785326722931
71,32073.497959549626,1,109576.36128821556,0.0,2,0.2717473671243301
49,90903.67580896283,9,117923.36763761785,496.05016523358245,3,0.9999969230959875
65,250047.97172614967,7,186115.03683029517,23253.17387868266,2,0.9998698760231675
72,129061.57757923806,9,63876.915425156374,15221.558926852793,2,0.9999932726186369
62,172870.81179724255,4,144811.45318432045,1810.1101183201818,2,0.9781390837708074
50,355981.84412222967,6,16197.058384901713,0.0,3,0.9921817825160975
