age,limit_bal,pay_delay,bill_amt,pay_amt,education,prob,default
74,260601.65139265807,2,57607.092750867436,6385.222902420109,2,0.24283323580211097,0
60,172927.48378351412,5,44229.93579266428,4675.413017299526,3,0.9882503178327856,1
54,259979.89465845237,3,30793.34856537392,2584.4645625554526,1,0.6083630761295192,1
42,155933.29412848174,6,52844.743609331,7601.340328445793,4,0.9981790321072361,1
22,67309.14675848708,-1,39173.32141563215,3476.5477309518287,3,0.004279285984317208,0
65,10000.0,-1,71978.62095415992,463.7510233944622,2,0.008688997311342369,1
40,225545.78816946113,3,55664.926241834095,6942.334488760981,1,0.7106541780688747,1
25,358888.2142710273,-2,42301.17879199985,9482.929590527476,1,0.0001575170383714467,0
21,188384.18560412622,2,127130.80605973484,23746.85738069682,1,0.5174184536770398,0
60,228287.42909319716,6,51851.288775881694,6877.264525079412,1,0.9976907495970486,1
74,186891.71130878685,7,50249.31506416625,0.0,2,0.9996582588203352,1
42,177167.40986041474,0,63734.63445239168,6567.960906135513,2,0.01711162745149978,0
72,319250.38640500035,0,30798.924488277546,0.0,1,0.005703778778668287,0
51,244951.30756792647,1,107949.83744617869,9631.635444635223,2,0.09433200374371527,0
33,120016.39401679333,1,82065.12248361357,0.0,2,0.14832094788903843,0
38,154881.18843313644,4,56087.74976183385,13693.66097652395,1,0.9545700345249066,1
24,314363.60756966216,0,30307.955294645715,2770.833406802351,3,0.005271211898456361,0
27,10000.0,3,129733.20511964969,0.0,1,0.9508341199683495,1
49,196271.85584134713,3,87730.8737836874,17.787547025614003,2,0.7932544620010161,1
29,273618.5721357247,1,0.0,2620.071614406494,2,0.029308413074458795,0
68,146979.59724411755,6,27985.417556324664,0.0,2,0.9980590508695641,1
66,48986.0390385342,6,19183.72975644756,0.0,3,0.9987171406285477,1
29,204048.53065315826,5,5139.954342234043,16528.697843034635,3,0.9789094933364999,1
54,85272.05862440735,3,34915.28462673153,7004.882209261848,3,0.7943239440304347,1
64,15671.16579010262,5,48588.07350449802,8520.885626124944,2,0.9957327301683141,1
54,159340.80702980532,5,52168.98137504066,7866.908131004882,1,0.9912520938439096,1
54,64657.660995408005,-1,40006.08009888585,11983.296754393567,2,0.004432063351435419,0
66,102064.18119736621,4,93936.04224815185,0.0,3,0.9739634106100694,1
60,45386.648129204856,1,488.4027876659311,0.0,1,0.10820787590687005,0
70,247708.49034506737,6,157212.12410933123,9955.085136686572,3,0.9989749657158273,1
71,139431.90297494998,2,75140.05301141461,3283.916186798927,3,0.4247015497410958,0
27,211911.29447278928,-1,119820.04645535705,2247.890871013566,4,0.0039291528399621805,0
72,157807.4608681451,1,57760.28033207724,0.0,3,0.08873494266638647,0
72,23000.57410149589,5,108130.32892067154,0.0,1,0.9977957052375679,1
66,29102.185080327617,5,65098.22019356289,0.0,1,0.9964626460382666,1
70,213781.8048935424,6,138952.44141121642,0.0,2,0.9990847285152513,1
70,156289.413562543,0,28331.678448102844,9028.989760218514,2,0.013000323807832356,0
58,341414.13784145936,0,51562.370937827785,11063.741717476096,2,0.005656066729801956,0
71,163699.2659680457,5,11938.788308122806,3083.4248683612154,1,0.9864545535164545,1
28,228985.84752215608,2,91696.51288847456,10090.11913145341,2,0.3619855221533953,0
38,10000.0,6,66456.23379080184,19215.606742705546,2,0.9993946295190858,1
30,10000.0,5,83103.09273670637,0.0,1,0.9974627914517397,1
50,248183.2917313754,2,39276.905070264256,15736.242765955813,2,0.2208289886765928,0
46,101340.82165301705,6,115937.74601534617,0.0,2,0.9994131322451629,1
39,132362.03339309452,-1,105095.45543735975,5376.423582583005,1,0.006483878740642718,0
48,61583.612734598515,4,64284.234594887734,0.0,2,0.9744446005557912,1
28,164886.63149522385,-2,85176.0644824826,18684.60727193803,4,0.0005982517250876341,0
47,291079.3848447794,7,98187.70024225148,5785.562694422437,2,0.9996193875254948,1
59,117916.49460647286,2,61851.890371093556,0.0,1,0.46229918945638304,0
59,10000.0,4,24077.684874379243,4139.8169530430905,3,0.9687225405065767,1
36,41289.82032615875,7,12101.096094784814,754.6086127111475,3,0.9997762279481662,1
72,156829.71052820704,4,50010.30198358097,0.0,1,0.9517720201329645,1
49,10000.0,3,59214.44150019828,12097.011243804536,2,0.8910904340446235,1
54,206331.85133118278,3,60917.2140227045,11282.331621935049,2,0.7244956246291977,1
35,266068.5343794527,5,134825.5702738369,14489.03873163361,3,0.9919537509396547,1
36,307881.71494509367,-1,78707.13509228431,13398.014394213073,1,0.001732754591376689,0
61,90995.45087456447,3,147680.15777185725,14059.79734434906,2,0.9257257562198594,1
54,131371.9427107532,1,110434.9002033401,14273.72562048977,2,0.1695443717208277,0
58,21499.45453636942,0,58637.97202148916,0.0,1,0.0424953643335232,1
44,117242.7557990106,5,67143.08377792854,5781.971463435355,2,0.9938041918564089,1
66,78419.68101055204,3,144412.06495703344,4811.380302759567,1,0.934544088978283,1
46,65612.61325451414,-1,0.0,4101.5453890419985,2,0.0030198931221307812,0
34,148597.7401374258,2,20639.047891847258,0.0,3,0.29464289132001953,0
30,93901.92058948518,0,72059.43721336153,10695.695571518305,4,0.026094022980894988,0
21,127812.94329650652,4,50355.92376119407,0.0,1,0.9610655561408938,1
44,96028.1425454141,0,116669.07423952343,10280.930982770824,2,0.04553270269174664,0
42,225039.91560427306,6,28179.672911623675,17110.703930637872,3,0.9966189285803974,1
24,104839.42675090506,6,0.0,7569.506737779506,4,0.9977123787000262,1
46,217690.01967244846,6,116275.90283943524,19988.974261581978,2,0.9987660138019636,1
26,60274.71509778728,-2,26883.200492715936,12113.569832356545,2,0.0007128868627770493,0
56,93380.89764160506,5,52416.4774954361,19224.877915004392,1,0.9938182616950321,1
34,136271.95212999437,7,40420.22354971917,13893.893270787647,1,0.9997363073380604,1
22,56509.20912085024,7,0.0,4136.154546573503,2,0.9997423563375146,1
43,52747.49052224307,1,0.0,13616.764506931368,4,0.08341521128083725,0
65,138216.9349172354,5,50876.04170627043,0.0,2,0.9917156371683119,1
32,262812.95962415484,3,110106.19622228085,11867.47564637186,3,0.7489840552475626,1
22,132891.55192048685,5,77543.57702158553,10127.217361700037,3,0.9935054797897689,1
48,105242.34054808778,7,54578.51493006888,2184.7482815872577,1,0.999814666251323,1
56,202853.83304018006,4,28847.84686096835,7036.167991924903,2,0.9180604236026405,1
34,392540.99320885073,2,32957.8878878306,4125.696719231337,2,0.10734855137529142,0
56,344133.42069850955,-1,23990.00088393961,5069.149644927187,3,0.0006975599167908479,0
59,180348.713573369,1,38498.28925748203,17823.2391427384,1,0.0714314378817278,0
50,147948.87517218606,2,11969.005363077304,17984.433909468426,4,0.24899881617592656,0
44,268812.50759502826,7,72479.93447275812,8363.364715353808,2,0.9995619708644992,1
60,123748.57342826715,2,45400.25253125157,0.0,3,0.3782049512067709,0
22,189284.36838470283,-2,84505.75341429652,0.0,2,0.0006341764833375938,0
37,10000.0,2,27349.60755771888,2827.2616816177233,1,0.5342590795626662,0
61,292055.84258925717,6,13537.39467049233,2842.2749098008585,3,0.9943497988586723,1
41,309579.713472729,3,37961.01649924739,0.0,1,0.5609738305834857,1
29,32837.41053491291,1,68414.77519948463,17953.49961857908,2,0.1926338510661558,0
57,242067.17993216467,5,81068.26777955574,3066.841541924009,3,0.9880583328413799,1
24,213913.03420728171,6,51283.65926735121,7190.393052360305,2,0.9977860882271072,1
51,90304.41971543606,3,47970.97471264987,0.0,2,0.8253456695847813,1
38,77717.24427389822,-2,88980.94376082244,26412.06325347317,1,0.0012361332991500079,1
37,108207.00548551814,4,24387.827364508128,4789.72833966311,4,0.94320618592807,1
59,272988.6041518242,2,0.0,6943.757423846789,4,0.12643361577836404,0
70,210222.75498914975,1,35569.76374164755,4780.939608716533,1,0.060755474990775125,0
59,57095.183622192315,7,97578.05223917242,10245.158478268404,1,0.9999069358375143,1
73,89750.04849672329,4,128849.75349998171,0.0,3,0.9828379825968423,1
70,240141.1846608828,7,52896.79720793087,10448.818020001952,3,0.9994975880373944,1
30,145597.7626887763,-2,102466.52692324363,0.0,1,0.0010494598755991813,0
27,223451.69801662664,2,73727.48507583106,0.0,2,0.33496258977736554,0
31,117157.2809587988,4,109326.19705265347,0.0,1,0.9795245005873146,1
59,39379.07151257392,5,106196.23312970798,0.0,1,0.9975567691001266,1
53,179875.22825724556,-2,50460.63671526291,1391.7534916336303,1,0.0004885287490196519,0
63,115323.57361777079,0,71029.5925162693,17558.37072500591,1,0.02661636534418232,0
39,10894.762998325488,3,76995.4078360593,20305.118977084832,1,0.9116331942671254,1
48,27873.131464985287,1,39789.30465153734,6950.134481539453,2,0.15681206084375982,0
22,10000.0,-2,56684.4185456792,13523.0381606078,2,0.0013004050916673737,0
31,148263.32320898378,7,40076.806900067386,4105.21924396273,1,0.9997258966209405,1
57,147092.31010664764,5,40466.82303714623,0.0,1,0.9910216868605707,1
37,174909.85032973287,3,94415.74355882299,0.0,2,0.8250201095339942,1
47,95143.47031416214,4,0.0,15803.173018410616,2,0.9387468459645275,1
40,262792.49738200224,2,131804.1786294732,14406.288200602034,1,0.42407642840047166,0
63,127632.70771859783,4,135221.1890427096,16213.551605487744,2,0.9805203336884766,1
51,220935.20603248768,-2,34777.10433707119,8903.056157222432,1,0.00031935591139978036,0
36,145049.3411898084,6,46502.95790911189,2116.319278824539,3,0.998339948997993,1
36,112251.22818228646,-1,62905.03413876899,0.0,2,0.004497323665318807,0
68,298032.98579000204,7,105908.76160420712,1628.0014402996449,1,0.9996564501789968,1
